,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,77.58,72,3,14.32,clear sky
1,Carnarvon,AU,-24.8667,113.6333,80.67,54,98,10.36,overcast clouds
2,Petropavlovka,RU,50.6114,105.3196,43.09,44,100,4.05,overcast clouds
3,Mar Del Plata,AR,-38.0023,-57.5575,60.1,82,0,14.0,clear sky
4,Mataura,NZ,-46.1927,168.8643,55.47,54,19,14.16,few clouds
5,Kutum,SD,14.2,24.6667,71.31,10,77,5.61,broken clouds
6,Puksoozero,RU,62.5903,40.6066,17.83,98,61,3.58,broken clouds
7,Bengkulu,ID,-3.8004,102.2655,78.44,84,100,3.04,overcast clouds
8,Busselton,AU,-33.65,115.3333,66.13,69,100,7.2,overcast clouds
9,Shache,CN,38.4167,77.2406,61.72,28,0,6.58,clear sky
10,Asau,RO,46.4333,26.4,52.95,75,91,2.64,overcast clouds
11,Niamey,NE,13.5137,2.1098,82.69,54,20,16.11,few clouds
12,Lujiang,CN,31.2581,117.2817,57.18,51,100,7.02,overcast clouds
13,Kaitangata,NZ,-46.2817,169.8464,57.27,50,4,20.22,clear sky
14,Punta Arenas,CL,-53.15,-70.9167,46.51,81,0,21.85,light rain
15,Bluff,NZ,-46.6,168.3333,55.8,65,28,35.21,scattered clouds
16,Severo-Kurilsk,RU,50.6789,156.125,32.14,82,99,2.42,overcast clouds
17,Butaritari,KI,3.0707,172.7902,81.77,73,34,11.18,light rain
18,Elliot Lake,CA,46.3834,-82.6331,24.98,68,93,9.08,overcast clouds
19,Touros,BR,-5.1989,-35.4608,80.28,81,96,9.1,overcast clouds
20,East London,ZA,-33.0153,27.9116,61.34,68,100,6.11,overcast clouds
21,Dalgopol,BG,43.05,27.35,54.93,75,10,3.18,clear sky
22,Barrow,US,71.2906,-156.7887,6.82,72,0,26.46,light snow
23,Ushuaia,AR,-54.8,-68.3,42.46,81,40,19.57,scattered clouds
24,Sinnamary,GF,5.3833,-52.95,77.9,88,100,9.08,overcast clouds
25,Hobart,AU,-42.8794,147.3294,63.01,67,75,9.22,broken clouds
26,Srednekolymsk,RU,67.45,153.6833,17.24,78,100,3.89,overcast clouds
27,Ixtapa,MX,20.7,-105.2,75.22,83,100,4.61,overcast clouds
28,Dunedin,NZ,-45.8742,170.5036,57.67,58,0,20.42,clear sky
29,Karwar,IN,14.8,74.1333,79.34,83,85,3.15,overcast clouds
30,Narsaq,GL,60.9167,-46.05,30.42,76,93,1.19,overcast clouds
31,Basco,PH,20.4487,121.9702,76.64,75,73,22.15,broken clouds
32,Bodden Town,KY,19.2833,-81.25,80.6,73,0,5.75,clear sky
33,Dumai,ID,1.6833,101.45,75.22,90,99,0.85,overcast clouds
34,Kodiak,US,57.79,-152.4072,38.71,87,100,16.11,light rain
35,Dikson,RU,73.5069,80.5464,17.26,96,100,5.23,light snow
36,Yellowknife,CA,62.456,-114.3525,21.72,45,75,8.05,broken clouds
37,San Felipe,VE,10.3399,-68.7425,72.43,95,99,5.53,overcast clouds
38,Longyearbyen,SJ,78.2186,15.6401,30.04,93,75,2.3,light snow
39,Ribeira Grande,PT,38.5167,-28.7,61.2,77,40,8.05,scattered clouds
40,Joshimath,IN,30.5667,79.5667,53.22,40,6,6.96,clear sky
41,Airai,TL,-8.9266,125.4092,72.07,65,88,1.25,overcast clouds
42,Cherskiy,RU,68.75,161.3,20.28,93,100,6.73,overcast clouds
43,Albany,US,42.6001,-73.9662,59.85,40,71,9.98,broken clouds
44,Atuona,PF,-9.8,-139.0333,79.18,77,16,15.7,few clouds
45,Maragogi,BR,-9.0122,-35.2225,79.48,86,45,8.39,scattered clouds
46,Tasiilaq,GL,65.6145,-37.6368,35.76,98,100,12.17,moderate rain
47,Marsa Matruh,EG,31.3525,27.2453,61.0,77,0,11.5,clear sky
48,Petatlan,MX,17.5167,-101.2667,82.2,65,100,3.87,overcast clouds
49,Cape Town,ZA,-33.9258,18.4232,59.11,66,0,17.27,clear sky
50,Naze,JP,28.3667,129.4833,67.12,61,30,20.69,scattered clouds
51,Nikolskoye,RU,59.7035,30.7861,37.29,88,86,11.7,overcast clouds
52,Jutai,BR,-5.1833,-68.9,73.4,98,96,1.45,overcast clouds
53,Moose Factory,CA,51.2585,-80.6094,33.8,93,100,4.61,overcast clouds
54,Qaanaaq,GL,77.484,-69.3632,-5.78,94,100,5.12,overcast clouds
55,New Norfolk,AU,-42.7826,147.0587,61.66,56,100,1.99,overcast clouds
56,Flinders,AU,-34.5833,150.8552,77.05,75,56,5.01,broken clouds
57,San-Pedro,CI,4.7485,-6.6363,76.57,93,78,3.49,light rain
58,San Andres,CO,12.5847,-81.7006,82.42,74,20,9.22,few clouds
59,Dalbandin,PK,28.8947,64.4101,76.3,11,4,3.71,clear sky
60,Ekhabi,RU,53.5102,142.9671,32.45,75,100,12.88,overcast clouds
61,Pirot,RS,43.1531,22.5861,52.47,54,10,1.28,clear sky
62,Nanortalik,GL,60.1432,-45.2371,26.38,79,98,12.86,overcast clouds
63,Manuk Mangkaw,PH,4.8,119.85,83.16,73,84,9.44,broken clouds
64,Wanning,CN,18.8003,110.3967,78.85,80,76,9.62,broken clouds
65,Ust-Ordynskiy,RU,52.805,104.7508,41.27,66,100,8.99,overcast clouds
66,Adrar,MR,20.5022,-10.0711,77.94,15,1,8.99,clear sky
67,Kapaa,US,22.0752,-159.319,82.38,74,40,16.11,scattered clouds
68,Sinop,TR,41.7711,34.8709,43.65,86,0,7.92,clear sky
69,Amga,RU,60.8953,131.9608,30.78,63,100,5.64,overcast clouds
70,Bara,NG,10.3744,10.7288,81.37,56,81,4.23,light rain
71,Vaini,TO,-21.2,-175.2,84.36,70,20,8.05,few clouds
72,Novopokrovka,UA,49.8425,36.5477,48.22,81,68,10.0,broken clouds
73,Caravelas,BR,-17.7125,-39.2481,75.6,78,100,13.96,light rain
74,Castro,BR,-24.7911,-50.0119,48.81,74,0,4.16,clear sky
75,Jamestown,US,42.097,-79.2353,52.52,46,100,11.5,overcast clouds
76,Hilo,US,19.7297,-155.09,80.28,89,100,5.75,haze
77,Yilan,TW,24.757,121.753,73.02,99,100,4.59,overcast clouds
78,Lagoa,PT,39.05,-27.9833,58.8,71,100,11.34,overcast clouds
79,Balurghat,IN,25.2167,88.7667,86.07,63,97,9.26,overcast clouds
80,Los Llanos De Aridane,ES,28.6585,-17.9182,62.13,72,0,12.66,clear sky
81,Port Alfred,ZA,-33.5906,26.891,58.91,71,96,4.88,overcast clouds
82,Vila Do Maio,CV,15.1333,-23.2167,69.67,80,29,13.87,scattered clouds
83,Chokurdakh,RU,70.6333,147.9167,11.12,88,100,6.04,overcast clouds
84,Sisimiut,GL,66.9395,-53.6735,12.06,73,38,10.02,scattered clouds
85,Broken Hill,AU,-31.95,141.4333,76.71,29,0,9.22,clear sky
86,Biak,ID,-0.9131,122.8766,81.57,73,100,1.52,overcast clouds
87,Provideniya,RU,64.3833,-173.3,32.7,95,100,26.49,light snow
88,Avarua,CK,-21.2078,-159.775,82.45,74,26,6.91,scattered clouds
89,Laguna,US,38.421,-121.4238,70.32,43,0,13.8,clear sky
90,Bethel,US,41.3712,-73.414,58.39,46,0,7.0,clear sky
91,Senno,RU,59.5336,33.9167,31.26,89,100,8.01,overcast clouds
92,Hermanus,ZA,-34.4187,19.2345,56.8,70,51,14.56,broken clouds
93,Bredasdorp,ZA,-34.5322,20.0403,57.97,61,98,10.71,overcast clouds
94,Malpe,IN,13.35,74.7167,79.9,80,42,3.15,scattered clouds
95,Souillac,MU,-20.5167,57.5167,77.38,83,40,17.27,light rain
96,Talnakh,RU,69.4865,88.3972,23.31,94,100,10.58,light snow
97,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,71,20,3.44,few clouds
98,Bilibino,RU,68.0546,166.4372,30.9,78,100,3.04,overcast clouds
99,Maldonado,UY,-34.6667,-54.9167,56.59,92,2,2.82,clear sky
100,Atambua,ID,-9.1061,124.8925,83.68,65,59,2.37,broken clouds
101,Saskylakh,RU,71.9167,114.0833,1.27,92,50,8.1,scattered clouds
102,Saint-Philippe,RE,-21.3585,55.7679,72.99,85,54,15.61,light rain
103,Klaksvik,FO,62.2266,-6.589,49.12,98,100,14.92,overcast clouds
