City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.58,clear sky,-23.1203,-134.9692,People ThankYou
1,Carnarvon,AU,80.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
3,Mar Del Plata,AR,60.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
4,Mataura,NZ,55.47,few clouds,-46.1927,168.8643,Ellie's Villa
5,Kutum,SD,71.31,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
7,Bengkulu,ID,78.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
8,Busselton,AU,66.13,overcast clouds,-33.65,115.3333,Observatory Guest House
9,Shache,CN,61.72,clear sky,38.4167,77.2406,Delong Hotel
10,Asau,RO,52.95,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
11,Niamey,NE,82.69,few clouds,13.5137,2.1098,Soluxe Hotel Niamey
12,Lujiang,CN,57.18,overcast clouds,31.2581,117.2817,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
13,Kaitangata,NZ,57.27,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
15,Bluff,NZ,55.8,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
17,Butaritari,KI,81.77,light rain,3.0707,172.7902,Isles Sunset Lodge
19,Touros,BR,80.28,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
20,East London,ZA,61.34,overcast clouds,-33.0153,27.9116,Tu Casa
21,Dalgopol,BG,54.93,clear sky,43.05,27.35,
24,Sinnamary,GF,77.9,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
25,Hobart,AU,63.01,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
27,Ixtapa,MX,75.22,overcast clouds,20.7,-105.2,hotel la terminal
28,Dunedin,NZ,57.67,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
29,Karwar,IN,79.34,overcast clouds,14.8,74.1333,Netalco Connects
31,Basco,PH,76.64,broken clouds,20.4487,121.9702,Nathaniel's Lodge
32,Bodden Town,KY,80.6,clear sky,19.2833,-81.25,Will T Place
33,Dumai,ID,75.22,overcast clouds,1.6833,101.45,Grand Zuri Dumai
37,San Felipe,VE,72.43,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
39,Ribeira Grande,PT,61.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
40,Joshimath,IN,53.22,clear sky,30.5667,79.5667,Shivalik Camps & Resort
41,Airai,TL,72.07,overcast clouds,-8.9266,125.4092,
43,Albany,US,59.85,broken clouds,42.6001,-73.9662,
44,Atuona,PF,79.18,few clouds,-9.8,-139.0333,Villa Enata
45,Maragogi,BR,79.48,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
47,Marsa Matruh,EG,61.0,clear sky,31.3525,27.2453,Beau Site
48,Petatlan,MX,82.2,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
49,Cape Town,ZA,59.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
50,Naze,JP,67.12,scattered clouds,28.3667,129.4833,Shishime Hotel
52,Jutai,BR,73.4,overcast clouds,-5.1833,-68.9,
55,New Norfolk,AU,61.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
56,Flinders,AU,77.05,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
57,San-Pedro,CI,76.57,light rain,4.7485,-6.6363,Hotel Maria
58,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
59,Dalbandin,PK,76.3,clear sky,28.8947,64.4101,Sanjrani House
61,Pirot,RS,52.47,clear sky,43.1531,22.5861,Sin-Kom Hotel Garni
63,Manuk Mangkaw,PH,83.16,broken clouds,4.8,119.85,
64,Wanning,CN,78.85,broken clouds,18.8003,110.3967,Paradise Hotel
66,Adrar,MR,77.94,clear sky,20.5022,-10.0711,
67,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
70,Bara,NG,81.37,light rain,10.3744,10.7288,
71,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
73,Caravelas,BR,75.6,light rain,-17.7125,-39.2481,Pousada dos Navegantes
75,Jamestown,US,52.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
76,Hilo,US,80.28,haze,19.7297,-155.09,Hilo Hawaiian Hotel
77,Yilan,TW,73.02,overcast clouds,24.757,121.753,Dar Chen Hotel
78,Lagoa,PT,58.8,overcast clouds,39.05,-27.9833,Casa Das Faias
79,Balurghat,IN,86.07,overcast clouds,25.2167,88.7667,"Circuit House, Balurghat"
80,Los Llanos De Aridane,ES,62.13,clear sky,28.6585,-17.9182,Valle Aridane
81,Port Alfred,ZA,58.91,overcast clouds,-33.5906,26.891,The Halyards Hotel
82,Vila Do Maio,CV,69.67,scattered clouds,15.1333,-23.2167,Hotel Marilu
85,Broken Hill,AU,76.71,clear sky,-31.95,141.4333,Royal Exchange Hotel
86,Biak,ID,81.57,overcast clouds,-0.9131,122.8766,Penginapan Kim
88,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
89,Laguna,US,70.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
90,Bethel,US,58.39,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
92,Hermanus,ZA,56.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
93,Bredasdorp,ZA,57.97,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
94,Malpe,IN,79.9,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
95,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
99,Maldonado,UY,56.59,clear sky,-34.6667,-54.9167,La Cimarrona
100,Atambua,ID,83.68,broken clouds,-9.1061,124.8925,Kost Alfa Flat
102,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
104,Codrington,AU,73.99,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
105,Esperance,AU,66.04,broken clouds,-33.8667,121.9,Hospitality Esperance
106,Mweka,CD,68.32,overcast clouds,-4.85,21.5667,Guest House Boshab
108,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
110,Pangai,TO,78.91,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
111,Arraial Do Cabo,BR,72.41,clear sky,-22.9661,-42.0278,Pousada Porto Praia
112,Vila Vicosa,PT,53.67,overcast clouds,38.7777,-7.4179,Pousada Convento Vila Viçosa
113,Puerto Ayora,EC,75.85,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
114,Estelle,US,77.0,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
115,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
116,Hithadhoo,MV,82.56,scattered clouds,-0.6,73.0833,Scoop Guest House
117,Sao Filipe,CV,70.27,clear sky,14.8961,-24.4956,Hotel Xaguate
118,Saldanha,ZA,53.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
